"levels(factor(monthly$comm_name_orig))"
"Abalone, Black"
"Abalone, Flat"
"Abalone, Green"
"Abalone, Pink"
"Abalone, Pinto"
"Abalone, Red"
"Abalone, Threaded"
"Abalone, Unspecified"
"Abalone, White"
"Anchovy, Deepbody"
"Anchovy, Northern"
"Barnacle"
"Barracuda, California"
"Bass, Barred Sand"
"Bass, Giant Sea"
"Bass, Kelp"
"Bass, Rock"
"Bass, Spotted Sand"
"Bass, Striped"
"Blackfish, Sacramento"
"Blacksmith"
"Bonefish"
"Bonito, Pacific"
"Box Crab"
"Butterfish, Pacific"
"Cabezon"
"Cabrilla, Spotted"
"Carp"
"Catfish"
"Chiton"
"Clam, California Jackknife"
"Clam, Common Washington"
"Clam, Gaper"
"Clam, Native Littleneck"
"Clam, Nothern Razor"
"Clam, Pismo"
"Clam, Purple"
"Clam, Rosy Razor"
"Clam, Soft Shelled"
"Clam, Unspecified"
"Cod, Pacific"
"Corbina, California"
"Corvina, Shortfin"
"Crab, Brown Rock"
"Crab, Claws"
"Crab, Dungeness"
"Crab, King"
"Crab, Pelagic Red"
"Crab, Red Rock"
"Crab, Rock"
"Crab, Sand"
"Crab, Shore"
"Crab, Spider"
"Crab, Tanner"
"Crab, Yellow Rock"
"Crayfish"
"Croaker, Black"
"Croaker, Various Species"
"Croaker, White"
"Croaker, Yellowfin"
"Crustacean, Unspecified"
"Cucumber, Sea"
"Cusk-Eel, Spotted"
"Dolphinfish"
"Echinod, Unspecified"
"Eel"
"Eel, Blenny"
"Eel, California Moray"
"Escolar"
"Eulachon"
"Flounder, Arrowtooth"
"Flounder, Starry"
"Flounder, Unclassified"
"Flyingfish"
"Frogs"
"Garibaldi"
"Goby, Bluebanded"
"Goby, Yellowfin"
"Greenling, Kelp"
"Grenadiers"
"Grouper"
"Grouper, Broomtail"
"Grunion, California"
"Guitarfish, Shovelnose"
"Hagfish"
"Halfmoon"
"Halibut, California"
"Halibut, Pacific"
"Halibut, Unspecified"
"Hardhead"
"Herring Roe On Kelp"
"Herring, Pacific"
"Herring, Round"
"Herring, Whole Fish With Roe"
"Hitch"
"Invertebrates, Colonial"
"Jack Crevalle"
"Jacks"
"Kahawai"
"Kelpfishes"
"Killifish, California"
"Limpet, Unspecified"
"Lingcod"
"Lizardfish, California"
"Lobster, California Spiny"
"Louvar"
"Mackerel, Bullet"
"Mackerel, Jack"
"Mackerel, Pacific"
"Mackerel, Unspecified"
"Marlin, Striped"
"Midshipman, Plainfin"
"Mola, Common"
"Mollusk, Unspecified"
"Monkeyface Eel"
"Mudsucker, Longjaw"
"Mullet, Striped"
"Mussel"
"Needlefish, California"
"Octopus, Unspecified"
"Oilfish"
"Opah"
"Opaleye"
"Oyster, California"
"Oyster, Eastern"
"Oyster, European Flat"
"Oyster, Giant Pacific"
"Oyster, Unspecified"
"Perch"
"Perch, Pacific Ocean"
"Pikeminnow, Sacramento"
"Pomfret, Pacific"
"Prawn, Golden"
"Prawn, Ridgeback"
"Prawn, Spotted"
"Prawn, Unspecified"
"Queenfish"
"Ratfish"
"Ray"
"Ray, Bat"
"Ray, Pacific Electric"
"Rockfish, Aurora"
"Rockfish, Bank"
"Rockfish, Black"
"Rockfish, Black-And-Yellow"
"Rockfish, Blackgill"
"Rockfish, Blue"
"Rockfish, Bocaccio"
"Rockfish, Bronzespotted"
"Rockfish, Brown"
"Rockfish, Chameleon"
"Rockfish, Chilipepper"
"Rockfish, China"
"Rockfish, Copper"
